Type,Value,Type,Value,Type,Value
Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO
Element,18822,Element,23916,Element,680008
,,,,,
,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
1190.0,-12.614626766998425,1190.0,2.7124986729443448,1190.0,-19.528380833262286
1200.0,-12.615953196170839,1200.0,2.842439980546249,1200.0,-19.48834021006294
1210.0,-12.617282443618928,1210.0,2.9721210647388205,1210.0,-19.44955013418843
1220.0,-12.61861390542754,1220.0,3.1015436558500027,1220.0,-19.411755025760918
1230.0,-12.619946837055258,1230.0,3.2307095479266366,1230.0,-19.374684324242125
1240.0,-12.621280468231207,1240.0,3.359620551288813,1240.0,-19.338077284102255
1250.0,-12.622614084359206,1250.0,3.488278582854734,1250.0,-19.301673597133988
1260.0,-12.623946048669398,1260.0,3.616704834534022,1260.0,-19.262703135821663
1270.0,-12.625277011392473,1270.0,3.744893567231056,1270.0,-19.225356731082268
1280.0,-12.626607073093673,1280.0,3.872847185788248,1280.0,-19.189117445315492
1290.0,-12.627935629639893,1290.0,4.000566721709643,1290.0,-19.15264832281989
1300.0,-12.629262133337209,1300.0,4.128047820439935,1300.0,-19.116083425847357
1310.0,-12.630585482309987,1310.0,4.255288355847872,1310.0,-19.07939475510835
1320.0,-12.631904594809582,1320.0,4.382287514522805,1320.0,-19.04244036281552
1330.0,-12.633218136878003,1330.0,4.509045454846261,1330.0,-19.00505604517517
1340.0,-12.63452456139172,1340.0,4.635563052646195,1340.0,-18.967025580822114
1350.0,-12.635822302519399,1350.0,4.761841600142208,1350.0,-18.928094415515986
1360.0,-12.637109904029279,1360.0,4.88788261362303,1360.0,-18.88799230251655
1370.0,-12.638386153487533,1370.0,5.013687689506772,1370.0,-18.84646192518216
1380.0,-12.639650216691491,1380.0,5.139258398617578,1380.0,-18.80329323649321
1390.0,-12.640901725336533,1390.0,5.264596226509591,1390.0,-18.758355652660715
1400.0,-12.64214082469495,1400.0,5.38970254071314,1400.0,-18.711622323834003
1410.0,-12.643368236111783,1410.0,5.514578550116068,1410.0,-18.66318885551894
1420.0,-12.644585290473799,1420.0,5.6392252785296275,1420.0,-18.61328684943493
1430.0,-12.645793888500865,1430.0,5.763643681343257,1430.0,-18.562242993542473
1440.0,-12.646994306131539,1440.0,5.887853575817199,1440.0,-18.506864537513515
1450.0,-12.648191440017774,1450.0,6.011847977510766,1450.0,-18.453817186535733
1460.0,-12.64938677007651,1460.0,6.135628778962433,1460.0,-18.40280540545461
1470.0,-12.65058032979609,1470.0,6.259196879458327,1470.0,-18.352021710123445
1480.0,-12.651772617747303,1480.0,6.38254781811739,1480.0,-18.301559722504546
1490.0,-12.652963642018083,1490.0,6.505679165013019,1490.0,-18.251320469771862
1500.0,-12.654152950553685,1500.0,6.628589902976015,1500.0,-18.20110860915873
1510.0,-12.65533972637034,1510.0,6.75127997193966,1510.0,-18.15069040725132
